Frame,Sprite,Mover,FPS,Transform,Camera,Player,
83,0.0101416,0.0026463,55.5556,1e-007,2.9e-006,4.3e-006,
84,0.0101618,0.0027309,58.8235,1e-007,2.7e-006,4.2e-006,
85,0.0103613,0.0027217,58.8235,1e-007,2.5e-006,4.5e-006,
86,0.0103835,0.0028616,58.8235,1e-007,3.2e-006,4.3e-006,
87,0.0105418,0.0026728,58.8235,1e-007,3.1e-006,4.4e-006,
88,0.0106352,0.0026792,55.5556,1e-007,4e-006,4.7e-006,
89,0.0108465,0.002721,58.8235,1e-007,3.8e-006,4.5e-006,
90,0.0109835,0.002741,55.5556,1e-007,3.9e-006,4.6e-006,
91,0.0111213,0.002767,55.5556,1e-007,3.2e-006,4.5e-006,
92,0.0111148,0.0029119,55.5556,0,3.3e-006,4.2e-006,
93,0.0113016,0.002838,55.5556,1e-007,3.5e-006,4.4e-006,
94,0.0113669,0.0028741,52.6316,0,2.8e-006,4.4e-006,
95,0.0115978,0.002994,55.5556,0,2.9e-006,4.4e-006,
96,0.0116144,0.0029183,52.6316,1e-007,3.1e-006,4.2e-006,
97,0.0118239,0.0031192,55.5556,2e-007,3.9e-006,4.5e-006,
98,0.0118324,0.0029974,50,1e-007,3.5e-006,4.6e-006,
99,0.011993,0.0030231,52.6316,1e-007,4.4e-006,4.9e-006,
100,0.0121256,0.0030542,52.6316,1e-007,2.6e-006,4.3e-006,
101,0.0123073,0.0030767,50,2e-007,3.1e-006,5.1e-006,
102,0.0123984,0.0031091,52.6316,1e-007,3.7e-006,4.4e-006,
103,0.0124746,0.0032279,50,1e-007,3.1e-006,4.2e-006,
104,0.0126219,0.003158,50,1e-007,4.3e-006,5.1e-006,
105,0.0128014,0.0032715,50,1e-007,3e-006,5.1e-006,
106,0.0128312,0.0032381,50,0,3.5e-006,4.3e-006,
107,0.0129938,0.0032544,47.619,1e-007,3.3e-006,4.3e-006,
108,0.0130785,0.0033849,50,1e-007,2.6e-006,4.5e-006,
109,0.0131425,0.0033215,47.619,1e-007,4.1e-006,5.2e-006,
110,0.0134977,0.0033828,47.619,0,3.6e-006,4.3e-006,
111,0.0143572,0.0033812,47.619,0,2.7e-006,4.2e-006,
112,0.0135754,0.0034098,45.4545,1e-007,4.1e-006,4.8e-006,
113,0.013834,0.0034552,47.619,1e-007,3.4e-006,4.9e-006,
114,0.0137745,0.0035005,47.619,1e-007,3.2e-006,4.2e-006,
115,0.0138599,0.0036509,45.4545,1e-007,3.9e-006,4.6e-006,
